name,address,city,phone,website,email
Bovin Vinarija,"Industriska b.b., 1440 Negotino",Negotino,43365322,https://bovin.mk,bovin@t.mk
Imako Vino Vinarija,"Mihajlo Apostolski 34/5, 2000 Stip",Stip,32308703,https://imakovino.com.mk,contact@imakovino.com.mk
Kralica Marija Kralska Vinarija,"Marsal Tito 63, Demir Kapija",Demir Kapija,43446500,https://wineryqueenmaria.com,contact@lazarwinery.mk
Kuvin Vinarija,"Makedonska Prerodba 70, 1000 Skopje",Skopje,22030185,https://www.winerykuvin.com,contact@winerykuvin.com
Lozar Vinarija,"Akademik Penco Davcev 130, 1400 Veles",Veles,43212620,http://lozar.mk/,info@lozar.mk
Popov Vinarija,"s. Sopot, 1430 Kavadarci",Kavadarci,43551000,http://popovwinery.com.mk,popov@popovwinery.com.mk
Popova Kula,"Bulevar na vinoto 1, 1442 Demir Kapija",Demir Kapija,43367400,http://www.popovakula.com.mk,contact@popovakula.com.mk
Skovin Vinarija,"15-ti Korpus 3, 1000 Skopje",Skopje,23145701,http://www.skovin.mk,contact@skovin.mk
Stobi Vinarija,"Avtopat 2, 1420 Gradsko",Veles,43215800,http://stobiwinery.mk/,info@stobiwinery.mk
Tikves,"8-mi Septemvri 5, 1430 Kavadarci",Kavadarci,43447500,https://tikves.com.mk,vvtikves@tikves.com.mk
Tristo Vinarija,"s. Sujaklari, 1400 Veles",Veles,43212065,http://www.tristo.com.mk,tristo@tristo.com.mk
Sato Kamnik Vinarija,"Kamnik b.b, 1000 Skopje",Skopje,22521786,https://www.chateaukamnik.com,contact@chateaukamnik.com
