name,address,city,phone,website,email
Бовин Винарија,"Индустриска б.б., 1440 Неготино",Неготино,043365322,https://bovin.mk,bovin@t.mk
Имако Вино Винарија,"Михајло Апостолски 34/5, 2000 Штип",Штип,032308703,https://imakovino.com.mk,contact@imakovino.com.mk
Кралица Марија Кралска Винарија,"Маршал Тито 63, Демир Капија",Демир Капија,043446500,https://wineryqueenmaria.com,contact@lazarwinery.mk
Кувин Винарија,"Македонска Преродба 70, 1000 Скопје",Скопје,022030185,https://www.winerykuvin.com,contact@winerykuvin.com
Лозар Винарија,"Академик Пенчо Давчев 130, 1400 Велес",Велес,043212620,http://lozar.mk/,info@lozar.mk
Попов Винарија,"с.Сопот, 1430 Кавадарци",Кавадарци,043551000,http://popovwinery.com.mk,popov@popovwinery.com.mk
Попова Кула,"Булевар на виното 1, 1442 Демир Капија",Демир Капија,043367400,http://www.popovakula.com.mk,contact@popovakula.com.mk
Сковин Винарија,"15-ти Корпус 3, 1000 Скопје",Скопје,023145701,http://www.skovin.mk,contact@skovin.mk
Стоби Винарија,"Автопат 2, 1420 Градско",Велес,043215800,http://stobiwinery.mk/,info@stobiwinery.mk
Тиквеш,"8-ми Септември 5, 1430 Kавадарци",Кавадарци,043447500,https://tikves.com.mk,vvtikves@tikves.com.mk
Тристо Винарија,"с.Сујаклари, 1400 Велес",Велес,043212065,http://www.tristo.com.mk,tristo@tristo.com.mk
Шато Камник Винарија,"Камник б.б., 1000 Скопје",Скопје,022521786,https://www.chateaukamnik.com,contact@chateaukamnik.com
